Laser Power [W],Scanning Speed [mm/s],Layer Thickness [um],Spot Size [um],Porosity [%],Max Melt Pool Width [um]
50,1150,30,100,50,45.5
50,1155,30,100,50,45.45
50,1160,30,100,50,45.4
50,1165,30,100,50,45.35
50,1170,30,100,50,45.3
50,1175,30,100,50,45.25
50,1180,30,100,50,45.2
50,1185,30,100,50,45.15
50,1190,30,100,50,45.1
50,1195,30,100,50,45.05
100,505,30,100,50,117.6
100,510,30,100,50,117.2
100,515,30,100,50,116.8
100,520,30,100,50,116.4
100,525,30,100,50,116
100,530,30,100,50,115.6
100,535,30,100,50,115.2
100,540,30,100,50,114.8
100,545,30,100,50,114.4
100,550,30,100,50,114
100,555,30,100,50,113.6
100,560,30,100,50,113.2
100,565,30,100,50,112.8
100,570,30,100,50,112.4
100,575,30,100,50,112
100,580,30,100,50,111.6
100,585,30,100,50,111.2
100,590,30,100,50,110.8
100,595,30,100,50,110.4
100,600,30,100,50,110
100,605,30,100,50,109.6
100,610,30,100,50,109.2
100,615,30,100,50,108.8
100,620,30,100,50,108.4
100,625,30,100,50,108
100,630,30,100,50,107.6
100,635,30,100,50,107.2
100,640,30,100,50,106.8
100,645,30,100,50,106.4
100,650,30,100,50,106
100,655,30,100,50,105.6
100,660,30,100,50,105.2
100,665,30,100,50,104.8
100,670,30,100,50,104.4
100,675,30,100,50,104
100,680,30,100,50,103.6
100,685,30,100,50,103.2
100,690,30,100,50,102.8
100,695,30,100,50,102.4
100,700,30,100,50,102
100,705,30,100,50,101.6
100,710,30,100,50,101.2
100,715,30,100,50,100.8
100,720,30,100,50,100.4
100,725,30,100,50,100
100,730,30,100,50,99.6
100,735,30,100,50,99.2
100,740,30,100,50,98.8
100,745,30,100,50,98.4
100,755,30,100,50,97.54
100,760,30,100,50,97.08
100,765,30,100,50,96.62
100,770,30,100,50,96.16
100,775,30,100,50,95.7
100,780,30,100,50,95.24
100,785,30,100,50,94.78
100,790,30,100,50,94.32
100,795,30,100,50,93.86
100,800,30,100,50,93.4
100,805,30,100,50,92.94
100,810,30,100,50,92.48
100,815,30,100,50,92.02
100,820,30,100,50,91.56
100,825,30,100,50,91.1
100,830,30,100,50,90.64
100,835,30,100,50,90.18
100,840,30,100,50,89.72
100,845,30,100,50,89.26
100,850,30,100,50,88.8
100,855,30,100,50,88.34
100,860,30,100,50,87.88
100,865,30,100,50,87.42
100,870,30,100,50,86.96
100,875,30,100,50,86.5
100,880,30,100,50,86.04
100,885,30,100,50,85.58
100,890,30,100,50,85.12
100,895,30,100,50,84.66
100,900,30,100,50,84.2
100,905,30,100,50,83.74
100,910,30,100,50,83.28
100,915,30,100,50,82.82
100,920,30,100,50,82.36
100,925,30,100,50,81.9
100,930,30,100,50,81.44
100,935,30,100,50,80.98
100,940,30,100,50,80.52
100,945,30,100,50,80.06
100,950,30,100,50,79.6
100,955,30,100,50,79.14
100,960,30,100,50,78.68
100,965,30,100,50,78.22
100,970,30,100,50,77.76
100,975,30,100,50,77.3
100,980,30,100,50,76.84
100,985,30,100,50,76.38
100,990,30,100,50,75.92
100,995,30,100,50,75.46
100,1005,30,100,50,74.925
100,1010,30,100,50,74.85
100,1015,30,100,50,74.775
100,1020,30,100,50,74.7
100,1025,30,100,50,74.625
100,1030,30,100,50,74.55
100,1035,30,100,50,74.475
100,1040,30,100,50,74.4
100,1045,30,100,50,74.325
100,1050,30,100,50,74.25
100,1055,30,100,50,74.175
100,1060,30,100,50,74.1
100,1065,30,100,50,74.025
100,1070,30,100,50,73.95
100,1075,30,100,50,73.875
100,1080,30,100,50,73.8
100,1085,30,100,50,73.725
100,1090,30,100,50,73.65
100,1095,30,100,50,73.575
100,1100,30,100,50,73.5
100,1105,30,100,50,73.425
100,1110,30,100,50,73.35
100,1115,30,100,50,73.275
100,1120,30,100,50,73.2
100,1125,30,100,50,73.125
100,1130,30,100,50,73.05
100,1135,30,100,50,72.975
100,1140,30,100,50,72.9
100,1145,30,100,50,72.825
100,1150,30,100,50,72.75
100,1155,30,100,50,72.675
100,1160,30,100,50,72.6
100,1165,30,100,50,72.525
100,1170,30,100,50,72.45
100,1175,30,100,50,72.375
100,1180,30,100,50,72.3
100,1185,30,100,50,72.225
100,1190,30,100,50,72.15
100,1195,30,100,50,72.075
150,505,30,100,50,144.8
150,510,30,100,50,144.6
150,515,30,100,50,144.4
150,520,30,100,50,144.2
150,525,30,100,50,144
150,530,30,100,50,143.8
150,535,30,100,50,143.6
150,540,30,100,50,143.4
150,545,30,100,50,143.2
150,550,30,100,50,143
150,555,30,100,50,142.8
150,560,30,100,50,142.6
150,565,30,100,50,142.4
150,570,30,100,50,142.2
150,575,30,100,50,142
150,580,30,100,50,141.8
150,585,30,100,50,141.6
150,590,30,100,50,141.4
150,595,30,100,50,141.2
150,600,30,100,50,141
150,605,30,100,50,140.8
150,610,30,100,50,140.6
150,615,30,100,50,140.4
150,620,30,100,50,140.2
150,625,30,100,50,140
150,630,30,100,50,139.8
150,635,30,100,50,139.6
150,640,30,100,50,139.4
150,645,30,100,50,139.2
150,650,30,100,50,139
150,655,30,100,50,138.8
150,660,30,100,50,138.6
150,665,30,100,50,138.4
150,670,30,100,50,138.2
150,675,30,100,50,138
150,680,30,100,50,137.8
150,685,30,100,50,137.6
150,690,30,100,50,137.4
150,695,30,100,50,137.2
150,700,30,100,50,137
150,705,30,100,50,136.8
150,710,30,100,50,136.6
150,715,30,100,50,136.4
150,720,30,100,50,136.2
150,725,30,100,50,136
150,730,30,100,50,135.8
150,735,30,100,50,135.6
150,740,30,100,50,135.4
150,745,30,100,50,135.2
150,755,30,100,50,134.6
150,760,30,100,50,134.2
150,765,30,100,50,133.8
150,770,30,100,50,133.4
150,775,30,100,50,133
150,780,30,100,50,132.6
150,785,30,100,50,132.2
150,790,30,100,50,131.8
150,795,30,100,50,131.4
150,800,30,100,50,131
150,805,30,100,50,130.6
150,810,30,100,50,130.2
150,815,30,100,50,129.8
150,820,30,100,50,129.4
150,825,30,100,50,129
150,830,30,100,50,128.6
150,835,30,100,50,128.2
150,840,30,100,50,127.8
150,845,30,100,50,127.4
150,850,30,100,50,127
150,855,30,100,50,126.6
150,860,30,100,50,126.2
150,865,30,100,50,125.8
150,870,30,100,50,125.4
150,875,30,100,50,125
150,880,30,100,50,124.6
150,885,30,100,50,124.2
150,890,30,100,50,123.8
150,895,30,100,50,123.4
150,900,30,100,50,123
150,905,30,100,50,122.6
150,910,30,100,50,122.2
150,915,30,100,50,121.8
150,920,30,100,50,121.4
150,925,30,100,50,121
150,930,30,100,50,120.6
150,935,30,100,50,120.2
150,940,30,100,50,119.8
150,945,30,100,50,119.4
150,950,30,100,50,119
150,955,30,100,50,118.6
150,960,30,100,50,118.2
150,965,30,100,50,117.8
150,970,30,100,50,117.4
150,975,30,100,50,117
150,980,30,100,50,116.6
150,985,30,100,50,116.2
150,990,30,100,50,115.8
150,995,30,100,50,115.4
150,1005,30,100,50,114.825
150,1010,30,100,50,114.65
150,1015,30,100,50,114.475
150,1020,30,100,50,114.3
150,1025,30,100,50,114.125
150,1030,30,100,50,113.95
150,1035,30,100,50,113.775
150,1040,30,100,50,113.6
150,1045,30,100,50,113.425
150,1050,30,100,50,113.25
150,1055,30,100,50,113.075
150,1060,30,100,50,112.9
150,1065,30,100,50,112.725
150,1070,30,100,50,112.55
150,1075,30,100,50,112.375
150,1080,30,100,50,112.2
150,1085,30,100,50,112.025
150,1090,30,100,50,111.85
150,1095,30,100,50,111.675
150,1100,30,100,50,111.5
150,1105,30,100,50,111.325
150,1110,30,100,50,111.15
150,1115,30,100,50,110.975
150,1120,30,100,50,110.8
150,1125,30,100,50,110.625
150,1130,30,100,50,110.45
150,1135,30,100,50,110.275
150,1140,30,100,50,110.1
150,1145,30,100,50,109.925
150,1150,30,100,50,109.75
150,1155,30,100,50,109.575
150,1160,30,100,50,109.4
150,1165,30,100,50,109.225
150,1170,30,100,50,109.05
150,1175,30,100,50,108.875
150,1180,30,100,50,108.7
150,1185,30,100,50,108.525
150,1190,30,100,50,108.35
150,1195,30,100,50,108.175
195,505,30,100,50,192.36
195,510,30,100,50,191.72
195,515,30,100,50,191.08
195,520,30,100,50,190.44
195,525,30,100,50,189.8
195,530,30,100,50,189.16
195,535,30,100,50,188.52
195,540,30,100,50,187.88
195,545,30,100,50,187.24
195,550,30,100,50,186.6
195,555,30,100,50,185.96
195,560,30,100,50,185.32
195,565,30,100,50,184.68
195,570,30,100,50,184.04
195,575,30,100,50,183.4
195,580,30,100,50,182.76
195,585,30,100,50,182.12
195,590,30,100,50,181.48
195,595,30,100,50,180.84
195,600,30,100,50,180.2
195,605,30,100,50,179.56
195,610,30,100,50,178.92
195,615,30,100,50,178.28
195,620,30,100,50,177.64
195,625,30,100,50,177
195,630,30,100,50,176.36
195,635,30,100,50,175.72
195,640,30,100,50,175.08
195,645,30,100,50,174.44
195,650,30,100,50,173.8
195,655,30,100,50,173.16
195,660,30,100,50,172.52
195,665,30,100,50,171.88
195,670,30,100,50,171.24
195,675,30,100,50,170.6
195,680,30,100,50,169.96
195,685,30,100,50,169.32
195,690,30,100,50,168.68
195,695,30,100,50,168.04
195,700,30,100,50,167.4
195,705,30,100,50,166.76
195,710,30,100,50,166.12
195,715,30,100,50,165.48
195,720,30,100,50,164.84
195,725,30,100,50,164.2
195,730,30,100,50,163.56
195,735,30,100,50,162.92
195,740,30,100,50,162.28
195,745,30,100,50,161.64
195,755,30,100,50,160.38
195,760,30,100,50,159.76
195,765,30,100,50,159.14
195,770,30,100,50,158.52
195,775,30,100,50,157.9
195,780,30,100,50,157.28
195,785,30,100,50,156.66
195,790,30,100,50,156.04
195,795,30,100,50,155.42
195,800,30,100,50,154.8
195,805,30,100,50,154.18
195,810,30,100,50,153.56
195,815,30,100,50,152.94
195,820,30,100,50,152.32
195,825,30,100,50,151.7
195,830,30,100,50,151.08
195,835,30,100,50,150.46
195,840,30,100,50,149.84
195,845,30,100,50,149.22
195,850,30,100,50,148.6
195,855,30,100,50,147.98
195,860,30,100,50,147.36
195,865,30,100,50,146.74
195,870,30,100,50,146.12
195,875,30,100,50,145.5
195,880,30,100,50,144.88
195,885,30,100,50,144.26
195,890,30,100,50,143.64
195,895,30,100,50,143.02
195,900,30,100,50,142.4
195,905,30,100,50,141.78
195,910,30,100,50,141.16
195,915,30,100,50,140.54
195,920,30,100,50,139.92
195,925,30,100,50,139.3
195,930,30,100,50,138.68
195,935,30,100,50,138.06
195,940,30,100,50,137.44
195,945,30,100,50,136.82
195,950,30,100,50,136.2
195,955,30,100,50,135.58
195,960,30,100,50,134.96
195,965,30,100,50,134.34
195,970,30,100,50,133.72
195,975,30,100,50,133.1
195,980,30,100,50,132.48
195,985,30,100,50,131.86
195,990,30,100,50,131.24
195,995,30,100,50,130.62
195,1005,30,100,50,129.8
195,1010,30,100,50,129.6
195,1015,30,100,50,129.4
195,1020,30,100,50,129.2
195,1025,30,100,50,129
195,1030,30,100,50,128.8
195,1035,30,100,50,128.6
195,1040,30,100,50,128.4
195,1045,30,100,50,128.2
195,1050,30,100,50,128
195,1055,30,100,50,127.8
195,1060,30,100,50,127.6
195,1065,30,100,50,127.4
195,1070,30,100,50,127.2
195,1075,30,100,50,127
195,1080,30,100,50,126.8
195,1085,30,100,50,126.6
195,1090,30,100,50,126.4
195,1095,30,100,50,126.2
195,1100,30,100,50,126
195,1105,30,100,50,125.8
195,1110,30,100,50,125.6
195,1115,30,100,50,125.4
195,1120,30,100,50,125.2
195,1125,30,100,50,125
195,1130,30,100,50,124.8
195,1135,30,100,50,124.6
195,1140,30,100,50,124.4
195,1145,30,100,50,124.2
195,1150,30,100,50,124
195,1155,30,100,50,123.8
195,1160,30,100,50,123.6
195,1165,30,100,50,123.4
195,1170,30,100,50,123.2
195,1175,30,100,50,123
195,1180,30,100,50,122.8
195,1185,30,100,50,122.6
195,1190,30,100,50,122.4
195,1195,30,100,50,122.2
50,200,30,100,50,125
50,400,30,100,50,90
100,200,30,100,50,240
100,400,30,100,50,175
100,800,30,100,50,115
150,200,30,100,50,300
150,400,30,100,50,210
150,800,30,100,50,150
150,1200,30,100,50,120
200,200,30,100,50,300
200,400,30,100,50,220
200,800,30,100,50,175
200,1200,30,100,50,140
200,1600,30,100,50,100
250,200,30,100,50,340
250,800,30,100,50,160
250,1200,30,100,50,150
250,1600,30,100,50,120
250,2000,30,100,50,110
300,200,30,100,50,400
300,400,30,100,50,290
300,800,30,100,50,180
300,1200,30,100,50,160
300,1600,30,100,50,125
300,2000,30,100,50,130
300,2400,30,100,50,110
350,200,30,100,50,400
350,400,30,100,50,275
350,800,30,100,50,175
350,1200,30,100,50,160
350,1600,30,100,50,100
350,2000,30,100,50,125
350,2400,30,100,50,130
350,2800,30,100,50,110
400,200,30,100,50,375
400,400,30,100,50,250
400,800,30,100,50,175
400,1200,30,100,50,160
400,1600,30,100,50,120
400,2000,30,100,50,130
400,2800,30,100,50,115
400,3200,30,100,50,125
91,200,70,100,50,186.8
91,500,70,100,50,109.8
91,800,70,100,50,89.2
91,1100,70,100,50,84
194,200,70,100,50,268.5
194,500,70,100,50,198.2
194,1100,70,100,50,108.6
297,200,70,100,50,356
297,500,70,100,50,227.8
297,1100,70,100,50,149.8
400,200,70,100,50,412
400,500,70,100,50,306.6
400,1100,70,100,50,156.2
200,100,70,58,50,390
200,300,70,58,50,160
200,750,70,58,50,110
200,1000,70,58,50,65
200,100,70,58,0,377
164,1703.15,120,80,0,92.38
179,1161.38,120,80,0,114.2
117,912.44,120,80,0,121.08
91.1,1013.1,120,80,0,92.88
148.2,665.5,120,80,0,157.21
200,100,215,58,0,331.915
200,300,215,58,0,221.475
200,750,215,58,0,133.755
200,1000,215,58,0,120.115
200,100,70,58,55,365.44
200,300,70,58,55,202.24
200,750,70,58,55,216.81
200,1000,70,58,55,94.42
200,100,70,58,57.6,412.75
200,300,70,58,57.6,289.08
200,750,70,58,57.6,241.87
200,1000,70,58,57.6,87.42
200,700,60,105,39,140.4226705
200,800,60,105,39,139.0186759
200,950,60,105,39,137.0733694
200,900,60,105,39,137.5116232
200,1000,60,105,39,136.3341299
200,1100,60,105,39,135.2434755
210,700,60,105,39,140.7819626
210,800,60,105,39,139.5121574
210,950,60,105,39,137.4349684
210,900,60,105,39,138.3074839
210,1000,60,105,39,136.9649506
210,1100,60,105,39,135.7640178
240,800,60,105,39,141.0152378
240,950,60,105,39,139.2067841
240,900,60,105,39,139.8655881
240,1050,60,105,39,138.0819834
240,1000,60,105,39,138.6133361
240,1100,60,105,39,137.6170355
240,1200,60,105,39,136.5813858
250,800,60,105,39,141.5143569
250,950,60,105,39,139.7535564
250,900,60,105,39,140.3370602
250,1050,60,105,39,138.6229352
250,1000,60,105,39,139.2047937
250,1100,60,105,39,137.9379279
250,1200,60,105,39,137.1517713
260,800,60,105,39,168.7200426
260,950,60,105,39,140.064767
260,900,60,105,39,140.7974915
260,1050,60,105,39,139.0286393
260,1000,60,105,39,139.7704381
260,1100,60,105,39,138.5490392
260,1200,60,105,39,137.5456418
201,900,60,105,39,137.6296015
202,1150,60,105,39,134.5729437
202,1200,60,105,39,133.9288877
203,850,60,105,39,138.3757631
203,1050,60,105,39,136.017466
203,1100,60,105,39,135.4174621
205,950,60,105,39,137.3763648
205,900,60,105,39,137.8512048
206,750,60,105,39,139.996383
206,800,60,105,39,139.4457629
206,1000,60,105,39,136.9156686
208,850,60,105,39,138.7956931
208,1200,60,105,39,134.5974426
209,950,60,105,39,137.548601
209,1100,60,105,39,135.7594062
210,750,60,105,39,140.2512446
210,1150,60,105,39,135.1020654
211,700,60,105,39,140.9244422
211,900,60,105,39,138.1955328
212,1000,60,105,39,136.9665905
213,750,60,105,39,140.3041359
214,950,60,105,39,137.7561586
214,1200,60,105,39,134.8337587
215,700,60,105,39,141.2581571
215,1050,60,105,39,136.7042362
215,1150,60,105,39,135.502157
216,1100,60,105,39,136.1536296
217,850,60,105,39,139.2418934
217,800,60,105,39,139.8798233
217,900,60,105,39,138.612578
219,700,60,105,39,141.3426199
219,1000,60,105,39,137.5480842
220,1150,60,105,39,135.8422728
221,750,60,105,39,140.7115871
221,800,60,105,39,140.1832509
221,950,60,105,39,138.1193299
222,1050,60,105,39,137.0573142
222,1200,60,105,39,135.3951561
223,1000,60,105,39,137.6491598
223,1100,60,105,39,136.3839004
224,900,60,105,39,139.0480712
225,950,60,105,39,138.407058
226,850,60,105,39,139.8466909
227,800,60,105,39,140.5206429
227,1050,60,105,39,137.3268535
227,1000,60,105,39,137.887333
229,750,60,105,39,141.5139161
229,1150,60,105,39,136.4431255
229,1100,60,105,39,136.8576649
230,950,60,105,39,138.7464306
231,900,60,105,39,139.3748388
233,850,60,105,39,140.2283154
233,800,60,105,39,140.7341878
233,1050,60,105,39,137.7970872
233,1150,60,105,39,136.7537666
234,750,60,105,39,141.5339548
234,950,60,105,39,138.9407807
235,900,60,105,39,139.6749438
237,1000,60,105,39,138.3731912
237,1150,60,105,39,136.8046499
238,800,60,105,39,140.9392811
239,750,60,105,39,167.5361515
239,850,60,105,39,140.3874921
239,900,60,105,39,139.8291927
241,700,60,105,39,169.7998201
241,1050,60,105,39,138.1698345
241,1100,60,105,39,137.5556868
242,900,60,105,39,139.9703524
242,1150,60,105,39,137.1428746
243,800,60,105,39,141.2820403
245,1000,60,105,39,138.9595105
245,1150,60,105,39,137.3348205
245,1100,60,105,39,137.8683079
247,700,60,105,39,170.1920485
247,900,60,105,39,140.1323234
248,750,60,105,39,168.9445907
248,800,60,105,39,141.4481717
248,950,60,105,39,139.638033
248,1050,60,105,39,138.5016038
249,750,60,105,39,168.8528272
249,800,60,105,39,141.4357169
249,1100,60,105,39,138.0255678
250,850,60,105,39,140.9682792
251,700,60,105,39,170.536162
251,1200,60,105,39,136.9849608
252,900,60,105,39,140.3738234
253,750,60,105,39,169.3718141
254,1100,60,105,39,138.3365143
255,950,60,105,39,139.9791954
255,1000,60,105,39,139.4197894
255,1200,60,105,39,137.2054071
256,1150,60,105,39,137.8429618
256,1100,60,105,39,138.3275443
257,800,60,105,39,168.2119614
257,950,60,105,39,140.0487867
257,1050,60,105,39,138.9593942
258,750,60,105,39,169.9478022
258,850,60,105,39,141.2550662
258,900,60,105,39,140.6543855
260,1100,60,105,39,138.649304
156,0,250,140,0,78.83680952
156,700,250,95,0,92.704
260,600,250,95,0,161.2410367
312,1200,250,95,0,262.8748567
364,900,250,95,0,181.7097233
520,700,250,95,0,141.5113267
416,700,100.9480091,95,40.91,118.4946127
416,700,250,95,0,109.92572
416,1500,118.56567,95,40.91,286.62154
416,1500,250,95,0,415.5406433
208,600,148.1196,95,40.91,81.38852375
208,600,250,95,0,167.0386133
208,900,133.5213867,95,40.91,108.816235
208,900,250,95,0,209.7634967
