Laser Power [W],Scanning Speed [mm/s],Layer Thickness [um],Spot Size [um],Porosity [%],Max Melt Pool Depth [um]
100,1105,30,100,50,22.95
100,1110,30,100,50,22.9
100,1115,30,100,50,22.85
100,1120,30,100,50,22.8
100,1125,30,100,50,22.75
100,1130,30,100,50,22.7
100,1135,30,100,50,22.65
100,1140,30,100,50,22.6
100,1145,30,100,50,22.55
100,1150,30,100,50,22.5
100,1155,30,100,50,22.45
100,1160,30,100,50,22.4
100,1165,30,100,50,22.35
100,1170,30,100,50,22.3
100,1175,30,100,50,22.25
100,1180,30,100,50,22.2
100,1185,30,100,50,22.15
100,1190,30,100,50,22.1
100,1195,30,100,50,22.05
150,505,30,100,50,100.42
150,510,30,100,50,99.84
150,515,30,100,50,99.26
150,520,30,100,50,98.68
150,525,30,100,50,98.1
150,530,30,100,50,97.52
150,535,30,100,50,96.94
150,540,30,100,50,96.36
150,545,30,100,50,95.78
150,550,30,100,50,95.2
150,555,30,100,50,94.62
150,560,30,100,50,94.04
150,565,30,100,50,93.46
150,570,30,100,50,92.88
150,575,30,100,50,92.3
150,580,30,100,50,91.72
150,585,30,100,50,91.14
150,590,30,100,50,90.56
150,595,30,100,50,89.98
150,600,30,100,50,89.4
150,605,30,100,50,88.82
150,610,30,100,50,88.24
150,615,30,100,50,87.66
150,620,30,100,50,87.08
150,625,30,100,50,86.5
150,630,30,100,50,85.92
150,635,30,100,50,85.34
150,640,30,100,50,84.76
150,645,30,100,50,84.18
150,650,30,100,50,83.6
150,655,30,100,50,83.02
150,660,30,100,50,82.44
150,665,30,100,50,81.86
150,670,30,100,50,81.28
150,675,30,100,50,80.7
150,680,30,100,50,80.12
150,685,30,100,50,79.54
150,690,30,100,50,78.96
150,695,30,100,50,78.38
150,700,30,100,50,77.8
150,705,30,100,50,77.22
150,710,30,100,50,76.64
150,715,30,100,50,76.06
150,720,30,100,50,75.48
150,725,30,100,50,74.9
150,730,30,100,50,74.32
150,735,30,100,50,73.74
150,740,30,100,50,73.16
150,745,30,100,50,72.58
150,755,30,100,50,71.62
150,760,30,100,50,71.24
150,765,30,100,50,70.86
150,770,30,100,50,70.48
150,775,30,100,50,70.1
150,780,30,100,50,69.72
150,785,30,100,50,69.34
150,790,30,100,50,68.96
150,795,30,100,50,68.58
150,800,30,100,50,68.2
150,805,30,100,50,67.82
150,810,30,100,50,67.44
150,815,30,100,50,67.06
150,820,30,100,50,66.68
150,825,30,100,50,66.3
150,830,30,100,50,65.92
150,835,30,100,50,65.54
150,840,30,100,50,65.16
150,845,30,100,50,64.78
150,850,30,100,50,64.4
150,855,30,100,50,64.02
150,860,30,100,50,63.64
150,865,30,100,50,63.26
150,870,30,100,50,62.88
150,875,30,100,50,62.5
150,880,30,100,50,62.12
150,885,30,100,50,61.74
150,890,30,100,50,61.36
150,895,30,100,50,60.98
150,900,30,100,50,60.6
150,905,30,100,50,60.22
150,910,30,100,50,59.84
150,915,30,100,50,59.46
150,920,30,100,50,59.08
150,925,30,100,50,58.7
150,930,30,100,50,58.32
150,935,30,100,50,57.94
150,940,30,100,50,57.56
150,945,30,100,50,57.18
150,950,30,100,50,56.8
150,955,30,100,50,56.42
150,960,30,100,50,56.04
150,965,30,100,50,55.66
150,970,30,100,50,55.28
150,975,30,100,50,54.9
150,980,30,100,50,54.52
150,985,30,100,50,54.14
150,990,30,100,50,53.76
150,995,30,100,50,53.38
150,1005,30,100,50,52.9
150,1010,30,100,50,52.8
150,1015,30,100,50,52.7
150,1020,30,100,50,52.6
150,1025,30,100,50,52.5
150,1030,30,100,50,52.4
150,1035,30,100,50,52.3
150,1040,30,100,50,52.2
150,1045,30,100,50,52.1
150,1050,30,100,50,52
150,1055,30,100,50,51.9
150,1060,30,100,50,51.8
150,1065,30,100,50,51.7
150,1070,30,100,50,51.6
150,1075,30,100,50,51.5
150,1080,30,100,50,51.4
150,1085,30,100,50,51.3
150,1090,30,100,50,51.2
150,1095,30,100,50,51.1
150,1100,30,100,50,51
150,1105,30,100,50,50.9
150,1110,30,100,50,50.8
150,1115,30,100,50,50.7
150,1120,30,100,50,50.6
150,1125,30,100,50,50.5
150,1130,30,100,50,50.4
150,1135,30,100,50,50.3
150,1140,30,100,50,50.2
150,1145,30,100,50,50.1
150,1150,30,100,50,50
150,1155,30,100,50,49.9
150,1160,30,100,50,49.8
150,1165,30,100,50,49.7
150,1170,30,100,50,49.6
150,1175,30,100,50,49.5
150,1180,30,100,50,49.4
150,1185,30,100,50,49.3
150,1190,30,100,50,49.2
150,1195,30,100,50,49.1
195,505,30,100,50,174.68
195,510,30,100,50,173.36
195,515,30,100,50,172.04
195,520,30,100,50,170.72
195,525,30,100,50,169.4
195,530,30,100,50,168.08
195,535,30,100,50,166.76
195,540,30,100,50,165.44
195,545,30,100,50,164.12
195,550,30,100,50,162.8
195,555,30,100,50,161.48
195,560,30,100,50,160.16
195,565,30,100,50,158.84
195,570,30,100,50,157.52
195,575,30,100,50,156.2
195,580,30,100,50,154.88
195,585,30,100,50,153.56
195,590,30,100,50,152.24
195,595,30,100,50,150.92
195,600,30,100,50,149.6
195,605,30,100,50,148.28
195,610,30,100,50,146.96
195,615,30,100,50,145.64
195,620,30,100,50,144.32
195,625,30,100,50,143
195,630,30,100,50,141.68
195,635,30,100,50,140.36
195,640,30,100,50,139.04
195,645,30,100,50,137.72
195,650,30,100,50,136.4
195,655,30,100,50,135.08
195,660,30,100,50,133.76
195,665,30,100,50,132.44
195,670,30,100,50,131.12
195,675,30,100,50,129.8
195,680,30,100,50,128.48
195,685,30,100,50,127.16
195,690,30,100,50,125.84
195,695,30,100,50,124.52
195,700,30,100,50,123.2
195,705,30,100,50,121.88
195,710,30,100,50,120.56
195,715,30,100,50,119.24
195,720,30,100,50,117.92
195,725,30,100,50,116.6
195,730,30,100,50,115.28
195,735,30,100,50,113.96
195,740,30,100,50,112.64
195,745,30,100,50,111.32
195,755,30,100,50,109.42
195,760,30,100,50,108.84
195,765,30,100,50,108.26
195,770,30,100,50,107.68
195,775,30,100,50,107.1
195,780,30,100,50,106.52
195,785,30,100,50,105.94
195,790,30,100,50,105.36
195,795,30,100,50,104.78
195,800,30,100,50,104.2
195,805,30,100,50,103.62
195,810,30,100,50,103.04
195,815,30,100,50,102.46
195,820,30,100,50,101.88
195,825,30,100,50,101.3
195,830,30,100,50,100.72
195,835,30,100,50,100.14
195,840,30,100,50,99.56
195,845,30,100,50,98.98
195,850,30,100,50,98.4
195,855,30,100,50,97.82
195,860,30,100,50,97.24
195,865,30,100,50,96.66
195,870,30,100,50,96.08
195,875,30,100,50,95.5
195,880,30,100,50,94.92
195,885,30,100,50,94.34
195,890,30,100,50,93.76
195,895,30,100,50,93.18
195,900,30,100,50,92.6
195,905,30,100,50,92.02
195,910,30,100,50,91.44
195,915,30,100,50,90.86
195,920,30,100,50,90.28
195,925,30,100,50,89.7
195,930,30,100,50,89.12
195,935,30,100,50,88.54
195,940,30,100,50,87.96
195,945,30,100,50,87.38
195,950,30,100,50,86.8
195,955,30,100,50,86.22
195,960,30,100,50,85.64
195,965,30,100,50,85.06
195,970,30,100,50,84.48
195,975,30,100,50,83.9
195,980,30,100,50,83.32
195,985,30,100,50,82.74
195,990,30,100,50,82.16
195,995,30,100,50,81.58
195,1005,30,100,50,80.6
195,1010,30,100,50,80.2
195,1015,30,100,50,79.8
195,1020,30,100,50,79.4
195,1025,30,100,50,79
195,1030,30,100,50,78.6
195,1035,30,100,50,78.2
195,1040,30,100,50,77.8
195,1045,30,100,50,77.4
195,1050,30,100,50,77
195,1055,30,100,50,76.6
195,1060,30,100,50,76.2
195,1065,30,100,50,75.8
195,1070,30,100,50,75.4
195,1075,30,100,50,75
195,1080,30,100,50,74.6
195,1085,30,100,50,74.2
195,1090,30,100,50,73.8
195,1095,30,100,50,73.4
195,1100,30,100,50,73
195,1105,30,100,50,72.6
195,1110,30,100,50,72.2
195,1115,30,100,50,71.8
195,1120,30,100,50,71.4
195,1125,30,100,50,71
195,1130,30,100,50,70.6
195,1135,30,100,50,70.2
195,1140,30,100,50,69.8
195,1145,30,100,50,69.4
195,1150,30,100,50,69
195,1155,30,100,50,68.6
195,1160,30,100,50,68.2
195,1165,30,100,50,67.8
195,1170,30,100,50,67.4
195,1175,30,100,50,67
195,1180,30,100,50,66.6
195,1185,30,100,50,66.2
195,1190,30,100,50,65.8
195,1195,30,100,50,65.4
50,200,30,100,50,25
50,400,30,100,50,20
100,200,30,100,50,220
100,400,30,100,50,125
100,800,30,100,50,40
150,200,30,100,50,340
150,400,30,100,50,225
150,800,30,100,50,90
150,1200,30,100,50,50
200,200,30,100,50,480
200,400,30,100,50,300
200,800,30,100,50,140
200,1200,30,100,50,80
200,1600,30,100,50,60
250,200,30,100,50,680
250,800,30,100,50,180
250,1200,30,100,50,80
250,1600,30,100,50,90
250,2000,30,100,50,60
300,200,30,100,50,450
300,400,30,100,50,280
300,800,30,100,50,280
300,1200,30,100,50,140
300,1600,30,100,50,100
300,2000,30,100,50,80
300,2400,30,100,50,60
350,200,30,100,50,720
350,400,30,100,50,600
350,800,30,100,50,275
350,1200,30,100,50,175
350,1600,30,100,50,90
350,2000,30,100,50,100
350,2400,30,100,50,75
350,2800,30,100,50,60
400,200,30,100,50,980
400,400,30,100,50,610
400,800,30,100,50,300
400,1200,30,100,50,180
400,1600,30,100,50,140
400,2000,30,100,50,100
400,2800,30,100,50,75
400,3200,30,100,50,60
91,200,70,100,50,17.7
91,500,70,100,50,12.7
91,800,70,100,50,7.6
91,1100,70,100,50,5
194,200,70,100,50,38.1
194,500,70,100,50,30.4
194,1100,70,100,50,55.8
297,200,70,100,50,165.1
297,500,70,100,50,45.7
297,1100,70,100,50,101.6
400,200,70,100,50,401.3
400,500,70,100,50,157.4
400,1100,70,100,50,134.6
200,100,70,58,50,310
200,300,70,58,50,200
200,750,70,58,50,80
200,1000,70,58,50,30
200,100,70,58,0,345
164,1703.15,120,80,0,78.05
179,1161.38,120,80,0,125.78
117,912.44,120,80,0,92.89
91.1,1013.1,120,80,0,54.99
148.2,665.5,120,80,0,180.77
200,100,215,58,0,363.685
200,300,215,58,0,178.075
200,750,215,58,0,84.215
200,1000,215,58,0,62.931
200,100,70,58,55,321.74
200,300,70,58,55,153.28
200,750,70,58,55,67.03
200,1000,70,58,55,60.13
200,100,70,58,57.6,322.3
200,300,70,58,57.6,280.92
200,750,70,58,57.6,81.01
200,1000,70,58,57.6,76.89
200,700,60,105,39,71.30146951
200,800,60,105,39,67.79728932
200,950,60,105,39,65.03565747
200,900,60,105,39,65.97779795
200,1000,60,105,39,64.53426847
200,1100,60,105,39,62.25259584
210,700,60,105,39,73.1015281
210,800,60,105,39,69.01839704
210,950,60,105,39,66.47023921
210,900,60,105,39,66.96173024
210,1000,60,105,39,65.15832335
210,1100,60,105,39,63.31649474
240,800,60,105,39,73.41913257
240,950,60,105,39,68.46740052
240,900,60,105,39,69.91948834
240,1050,60,105,39,66.87220623
240,1000,60,105,39,67.58027684
240,1100,60,105,39,66.29502962
240,1200,60,105,39,64.93567993
250,800,60,105,39,74.9576571
250,950,60,105,39,69.61045348
250,900,60,105,39,71.23912254
250,1050,60,105,39,67.43931087
250,1000,60,105,39,68.5582292
250,1100,60,105,39,66.91502563
250,1200,60,105,39,65.56215028
260,800,60,105,39,75.18682453
260,950,60,105,39,70.75916834
260,900,60,105,39,72.66142937
260,1050,60,105,39,68.34148863
260,1000,60,105,39,69.72233514
260,1100,60,105,39,67.42238626
260,1200,60,105,39,66.56985858
201,900,60,105,39,66.19612071
202,1150,60,105,39,61.47223228
202,1200,60,105,39,60.0857221
203,850,60,105,39,66.9328081
203,1050,60,105,39,63.60268017
203,1100,60,105,39,63.23380001
205,950,60,105,39,65.59812512
205,900,60,105,39,66.6233701
206,750,60,105,39,69.86463964
206,800,60,105,39,68.66321382
206,1000,60,105,39,64.97618421
208,850,60,105,39,67.47100416
208,1200,60,105,39,61.17923107
209,950,60,105,39,66.12332407
209,1100,60,105,39,63.22610402
210,750,60,105,39,70.62359062
210,1150,60,105,39,62.66689299
211,700,60,105,39,72.79773381
211,900,60,105,39,66.81638795
212,1000,60,105,39,65.31076189
213,750,60,105,39,71.06726611
214,950,60,105,39,66.29512171
214,1200,60,105,39,61.76283142
215,700,60,105,39,73.83412944
215,1050,60,105,39,64.78223236
215,1150,60,105,39,62.97282826
216,1100,60,105,39,63.93678072
217,850,60,105,39,68.95916296
217,800,60,105,39,69.87314929
217,900,60,105,39,67.16276679
219,700,60,105,39,74.37683345
219,1000,60,105,39,65.99548766
220,1150,60,105,39,63.60962027
221,750,60,105,39,72.27192006
221,800,60,105,39,70.68862935
221,950,60,105,39,66.85203598
222,1050,60,105,39,65.4611263
222,1200,60,105,39,63.00287145
223,1000,60,105,39,66.39142034
223,1100,60,105,39,64.52343193
224,900,60,105,39,68.28393349
225,950,60,105,39,67.10019481
226,850,60,105,39,69.80815992
227,800,60,105,39,71.13274502
227,1050,60,105,39,65.91461355
227,1000,60,105,39,66.70627089
229,750,60,105,39,74.11001376
229,1150,60,105,39,64.9631121
229,1100,60,105,39,65.3433002
230,950,60,105,39,67.38630959
231,900,60,105,39,68.75204704
233,850,60,105,39,70.67603584
233,800,60,105,39,72.22927318
233,1050,60,105,39,66.80830985
233,1150,60,105,39,64.87238203
234,750,60,105,39,74.71407943
234,950,60,105,39,67.9021624
235,900,60,105,39,69.39710105
237,1000,60,105,39,67.17536464
237,1150,60,105,39,65.20033389
238,800,60,105,39,73.28001167
239,750,60,105,39,74.55687081
239,850,60,105,39,71.27028344
239,900,60,105,39,69.57667243
241,700,60,105,39,76.71452974
241,1050,60,105,39,66.91837464
241,1100,60,105,39,66.31040949
242,900,60,105,39,69.89211843
242,1150,60,105,39,65.58679875
243,800,60,105,39,74.01326667
245,1000,60,105,39,67.93877679
245,1150,60,105,39,66.09137605
245,1100,60,105,39,66.65328409
247,700,60,105,39,76.9659782
247,900,60,105,39,70.51264321
248,750,60,105,39,75.23212255
248,800,60,105,39,74.7730022
248,950,60,105,39,69.31498051
248,1050,60,105,39,67.14293752
249,750,60,105,39,75.42703086
249,800,60,105,39,74.93324424
249,1100,60,105,39,66.77455718
250,850,60,105,39,72.62575051
251,700,60,105,39,77.57637588
251,1200,60,105,39,65.79229162
252,900,60,105,39,71.23530399
253,750,60,105,39,76.00832559
254,1100,60,105,39,67.00964261
255,950,60,105,39,70.21748588
255,1000,60,105,39,68.8045169
255,1200,60,105,39,66.02880435
256,1150,60,105,39,66.6722936
256,1100,60,105,39,67.26566888
257,800,60,105,39,74.99071169
257,950,60,105,39,70.29406534
257,1050,60,105,39,68.10937611
258,750,60,105,39,76.50203454
258,850,60,105,39,74.00189403
258,900,60,105,39,72.10692256
260,1100,60,105,39,67.30623341
156,0,250,140,0,135.8192029
156,700,250,95,0,75.16559997
260,600,250,95,0,189.34101
312,1200,250,95,0,134.9822133
364,900,250,95,0,268.68926
520,700,250,95,0,518.3565033
416,700,100.9480091,95,40.91,361.9423
416,700,250,95,0,310.03818
416,1500,118.56567,95,40.91,208.06433
416,1500,250,95,0,134.98251
208,600,148.1196,95,40.91,221.320265
208,600,250,95,0,129.7771267
208,900,133.5213867,95,40.91,164.4271367
208,900,250,95,0,72.19422333
