Laser Power [W],Scanning Speed [mm/s],Layer Thickness [um],Spot Size [um],Porosity [%],Max Melt Pool Width [um]
195.0,935.0,70.0,80,39.0,135.58
100.0,740.0,30.0,100,39.0,108.816235
245.0,1100.0,70.0,100,0.0,133.755
238.0,1150.0,120.0,95,50.0,49.82
100.0,600.0,30.0,100,0.0,87.42
195.0,915.0,30.0,95,57.6,49.04
233.0,1030.0,30.0,105,50.0,142.6
195.0,300.0,30.0,100,39.0,262.8748567
50.0,665.5,30.0,105,50.0,141.6
100.0,845.0,30.0,105,50.0,86.5
195.0,1013.1,30.0,105,39.0,250.0
194.0,0.0,30.0,105,39.0,78.83680952
100.0,900.0,30.0,95,0.0,145.5
220.0,400.0,30.0,100,50.0,262.8748567
164.0,600.0,30.0,100,50.0,262.8748567
100.0,1050.0,30.0,100,50.0,81.38852375
50.0,1180.0,60.0,80,40.5,170.1920485
100.0,1165.0,215.0,105,40.91,140.9392811
214.0,865.0,30.0,100,39.0,171.24
249.0,665.5,30.0,58,39.0,48.86
100.0,925.0,60.0,58,57.6,92.88
195.0,1600.0,60.0,95,39.0,48.74
201.0,630.0,60.0,100,0.0,141.5113267
255.0,560.0,250.0,140,39.0,46.95
156.0,1100.0,30.0,100,39.0,108.816235
179.0,900.0,30.0,100,40.91,400.0
175.0,1000.0,70.0,100,0.0,241.87
50.0,200.0,30.0,105,39.0,127.4
241.0,745.0,60.0,100,0.0,127.0
200.0,600.0,30.0,105,50.0,117.6
50.0,700.0,30.0,100,50.0,108.175
100.0,1100.0,30.0,100,50.0,72.15
100.0,700.0,30.0,100,0.0,52.72
156.0,1000.0,30.0,100,39.0,240.0
364.0,750.0,30.0,105,39.0,184.68
100.0,600.0,30.0,105,50.0,62.92
50.0,100.0,60.0,100,39.0,140.5206429
175.0,300.0,70.0,105,50.0,140.0
194.0,750.0,30.0,80,50.0,140.3874921
297.0,1161.38,118.56567,100,39.0,216.81
520.0,200.0,30.0,105,50.0,129.4
364.0,100.0,60.0,105,40.5,180.84
260.0,660.0,30.0,58,0.0,198.2
200.0,1050.0,30.0,100,50.0,118.4946127
250.0,790.0,60.0,100,39.0,116.6
250.0,940.0,30.0,58,0.0,129.4
416.0,300.0,30.0,100,40.91,137.3268535
50.0,700.0,60.0,100,39.0,136.7537666
222.0,745.0,30.0,105,57.6,112.0
217.0,1000.0,30.0,80,50.0,138.3275443
150.0,1050.0,60.0,105,50.0,331.915
91.0,700.0,250.0,58,39.0,48.08
200.0,800.0,30.0,100,0.0,135.502157
195.0,1005.0,70.0,100,57.6,60.2
100.0,900.0,30.0,100,50.0,162.28
200.0,750.0,60.0,105,0.0,129.2
100.0,700.0,30.0,100,0.0,216.81
50.0,800.0,70.0,105,50.0,103.6
416.0,1125.0,30.0,100,0.0,139.8798233
50.0,800.0,60.0,105,40.5,175.0
234.0,850.0,60.0,100,50.0,51.02
100.0,200.0,30.0,100,50.0,167.0386133
50.0,1130.0,70.0,100,39.0,81.44
175.0,1085.0,100.9480091,95,50.0,56.25
416.0,900.0,30.0,100,50.0,331.915
242.0,1105.0,30.0,140,39.0,141.4481717
150.0,1100.0,60.0,100,50.0,412.75
195.0,1130.0,30.0,80,50.0,115.0
220.0,500.0,30.0,105,40.91,110.8
250.0,1135.0,30.0,100,50.0,139.2047937
208.0,910.0,60.0,100,0.0,415.5406433
156.0,1000.0,30.0,105,50.0,92.88
50.0,1175.0,70.0,100,0.0,89.26
200.0,1200.0,30.0,100,50.0,123.6
100.0,900.0,30.0,105,57.6,49.34
200.0,800.0,60.0,100,39.0,137.7561586
175.0,675.0,118.56567,100,50.0,286.62154
195.0,1150.0,120.0,100,39.0,168.68
248.0,700.0,60.0,105,50.0,216.81
100.0,1190.0,60.0,80,50.0,289.08
100.0,300.0,30.0,100,50.0,144.2
100.0,800.0,60.0,100,40.5,365.44
219.0,100.0,30.0,95,0.0,181.7097233
50.0,1161.38,30.0,100,50.0,290.0
260.0,750.0,30.0,105,39.0,48.38
257.0,850.0,70.0,95,39.0,130.0
50.0,500.0,30.0,100,50.0,72.075
195.0,1703.15,100.9480091,95,39.0,90.18
200.0,950.0,30.0,100,50.0,45.25
200.0,720.0,60.0,105,50.0,90.64
195.0,1050.0,30.0,100,39.0,139.2067841
100.0,990.0,215.0,105,39.0,140.9682792
150.0,1015.0,30.0,100,50.0,109.2
247.0,1150.0,60.0,100,50.0,74.025
100.0,1100.0,30.0,105,39.0,140.064767
50.0,1000.0,60.0,100,0.0,109.8
230.0,1120.0,30.0,100,0.0,112.0
200.0,1703.15,70.0,100,39.0,122.8
50.0,100.0,120.0,105,50.0,72.45
150.0,500.0,250.0,80,39.0,209.7634967
100.0,730.0,60.0,105,40.91,180.0
50.0,950.0,60.0,100,40.5,139.8798233
195.0,1200.0,30.0,100,39.0,72.3
239.0,100.0,70.0,58,39.0,46.95
221.0,1125.0,60.0,105,39.0,111.675
150.0,995.0,70.0,105,50.0,108.525
416.0,400.0,60.0,105,40.5,112.5
200.0,545.0,30.0,100,57.6,169.32
217.0,1000.0,30.0,105,40.5,45.75
150.0,1000.0,30.0,100,0.0,160.0
50.0,990.0,30.0,105,50.0,150.0
200.0,900.0,70.0,95,0.0,221.475
416.0,605.0,30.0,80,50.0,140.4
50.0,1200.0,30.0,100,40.5,221.475
209.0,1200.0,100.9480091,95,50.0,149.84
416.0,1013.1,30.0,105,39.0,141.5143569
100.0,800.0,30.0,100,50.0,108.816235
200.0,730.0,30.0,58,39.0,73.425
257.0,870.0,60.0,100,50.0,153.56
150.0,1600.0,30.0,140,50.0,62.92
150.0,1145.0,60.0,105,39.0,146.12
233.0,955.0,30.0,80,0.0,161.2410367
100.0,1065.0,70.0,80,50.0,225.0
150.0,640.0,60.0,100,40.91,182.76
150.0,1013.1,30.0,58,50.0,356.0
50.0,1200.0,60.0,105,50.0,92.88
297.0,200.0,30.0,105,39.0,138.1193299
222.0,1170.0,118.56567,105,40.91,139.2067841
416.0,100.0,30.0,105,50.0,198.2
91.0,575.0,60.0,105,39.0,121.08
100.0,1100.0,60.0,100,39.0,137.5456418
254.0,665.5,30.0,105,39.0,128.6
195.0,912.44,70.0,100,50.0,105.2
200.0,600.0,30.0,95,39.0,130.6
200.0,200.0,30.0,105,50.0,114.2
208.0,1150.0,30.0,105,39.0,139.8798233
297.0,605.0,30.0,105,39.0,262.5
50.0,710.0,30.0,100,39.0,110.275
100.0,1055.0,60.0,105,0.0,109.92572
100.0,800.0,30.0,95,50.0,121.08
150.0,300.0,60.0,100,50.0,73.275
350.0,565.0,60.0,100,50.0,176.36
195.0,920.0,30.0,95,39.0,137.548601
100.0,1100.0,60.0,100,0.0,221.475
240.0,560.0,30.0,105,55.0,126.4
239.0,845.0,60.0,100,0.0,141.5113267
200.0,1100.0,60.0,100,55.0,209.7634967
208.0,912.44,60.0,105,40.5,114.825
150.0,1500.0,30.0,100,50.0,47.72
150.0,700.0,60.0,105,0.0,186.8
210.0,615.0,30.0,105,50.0,157.21
100.0,600.0,30.0,95,50.0,137.1428746
200.0,1150.0,148.1196,100,0.0,139.2067841
195.0,550.0,70.0,105,40.5,158.52
240.0,600.0,148.1196,105,50.0,306.6
200.0,800.0,30.0,58,0.0,141.2
100.0,620.0,60.0,100,39.0,144.2
195.0,0.0,30.0,105,50.0,49.1
100.0,1013.1,70.0,100,40.91,221.475
195.0,750.0,30.0,105,50.0,127.0
226.0,810.0,30.0,58,39.0,112.5
222.0,710.0,60.0,140,0.0,61.9
50.0,780.0,60.0,105,50.0,112.5
100.0,1175.0,30.0,58,39.0,75.0
250.0,610.0,30.0,58,39.0,140.6543855
50.0,912.44,60.0,58,50.0,159.76
125.0,600.0,118.56567,100,50.0,48.68
195.0,775.0,30.0,95,50.0,157.21
250.0,900.0,30.0,105,57.6,112.5
50.0,912.44,30.0,105,50.0,92.88
235.0,730.0,30.0,100,57.6,48.38
217.0,800.0,30.0,105,50.0,137.8429618
229.0,910.0,60.0,100,40.5,89.26
416.0,675.0,30.0,140,50.0,138.0819834
208.0,1090.0,30.0,105,50.0,132.2
50.0,1000.0,30.0,105,50.0,112.5
255.0,1150.0,30.0,58,39.0,49.52
233.0,900.0,60.0,100,50.0,216.81
156.0,750.0,70.0,105,39.0,124.2
50.0,1040.0,30.0,100,50.0,161.2410367
200.0,1200.0,60.0,100,40.91,262.8748567
195.0,730.0,30.0,100,0.0,84.2
200.0,1150.0,120.0,105,0.0,138.6133361
50.0,960.0,250.0,105,40.91,74.175
416.0,900.0,70.0,100,39.0,63.94
50.0,100.0,30.0,105,39.0,133.755
100.0,0.0,30.0,105,50.0,116.0
50.0,100.0,30.0,105,0.0,136.7537666
195.0,1600.0,30.0,100,50.0,123.2
148.2,200.0,30.0,58,0.0,149.22
100.0,555.0,70.0,105,0.0,72.45
50.0,1150.0,120.0,100,50.0,108.816235
250.0,300.0,30.0,100,50.0,164.2
148.2,530.0,60.0,100,0.0,202.24
195.0,800.0,30.0,100,39.0,110.0
91.1,985.0,30.0,100,50.0,118.4946127
100.0,665.5,30.0,100,50.0,133.755
195.0,1200.0,30.0,100,39.0,92.704
243.0,550.0,30.0,100,39.0,250.0
100.0,800.0,30.0,80,39.0,87.42
50.0,800.0,30.0,100,50.0,45.1
50.0,1600.0,60.0,100,39.0,133.755
210.0,400.0,30.0,100,50.0,181.7097233
179.0,900.0,30.0,95,40.91,162.92
195.0,1150.0,30.0,100,50.0,365.44
205.0,750.0,70.0,95,50.0,117.8
100.0,950.0,60.0,140,39.0,73.65
240.0,900.0,30.0,100,39.0,377.0
195.0,500.0,30.0,105,0.0,110.1
50.0,1085.0,30.0,105,39.0,209.7634967
200.0,1000.0,30.0,100,50.0,109.4
400.0,750.0,30.0,100,39.0,415.5406433
233.0,950.0,30.0,105,57.6,189.8
50.0,550.0,30.0,105,50.0,114.2
195.0,1050.0,30.0,100,39.0,177.0
175.0,1000.0,30.0,100,40.5,160.0
156.0,300.0,120.0,140,39.0,140.2283154
200.0,545.0,30.0,100,50.0,92.88
215.0,1200.0,70.0,105,39.0,119.8
150.0,665.5,60.0,80,50.0,73.8
50.0,800.0,30.0,100,50.0,189.8
400.0,850.0,148.1196,105,39.0,82.82
230.0,645.0,30.0,105,50.0,140.2512446
233.0,750.0,30.0,105,50.0,151.7
200.0,600.0,30.0,105,39.0,121.8
206.0,1000.0,215.0,105,50.0,140.3738234
312.0,1185.0,30.0,105,55.0,134.6
400.0,100.0,30.0,105,50.0,170.1920485
195.0,1050.0,30.0,95,50.0,113.075
91.1,660.0,30.0,105,0.0,202.24
300.0,1065.0,60.0,95,57.6,275.0
50.0,1125.0,30.0,58,40.91,92.38
50.0,750.0,30.0,100,39.0,241.87
416.0,100.0,30.0,105,50.0,92.88
250.0,100.0,60.0,105,0.0,53.4
253.0,750.0,70.0,100,57.6,149.22
240.0,1015.0,70.0,100,39.0,92.38
100.0,1000.0,60.0,100,40.5,118.4946127
150.0,1000.0,30.0,95,40.5,189.8
100.0,750.0,30.0,100,50.0,115.0
200.0,100.0,30.0,105,0.0,141.0
91.1,825.0,30.0,105,40.5,58.84
200.0,1100.0,120.0,105,50.0,92.38
195.0,575.0,118.56567,100,0.0,131.4
227.0,1050.0,60.0,105,55.0,87.42
50.0,400.0,30.0,100,50.0,185.96
50.0,1600.0,30.0,100,39.0,72.825
50.0,800.0,120.0,58,0.0,110.1
100.0,1703.15,30.0,80,50.0,157.21
100.0,1200.0,30.0,100,50.0,92.704
217.0,1000.0,30.0,105,40.91,137.6491598
200.0,570.0,30.0,100,39.0,75.0
243.0,950.0,120.0,100,0.0,101.2
200.0,1000.0,30.0,100,50.0,412.75
195.0,900.0,250.0,80,50.0,73.65
219.0,950.0,30.0,95,50.0,118.4946127
221.0,800.0,30.0,100,50.0,143.02
208.0,950.0,30.0,58,40.5,112.5
195.0,750.0,30.0,100,39.0,61.9
100.0,700.0,30.0,100,50.0,170.536162
208.0,900.0,250.0,100,0.0,209.7634967
400.0,750.0,30.0,100,50.0,138.9593942
364.0,100.0,30.0,80,0.0,180.0
195.0,850.0,60.0,100,39.0,115.0
150.0,600.0,30.0,95,50.0,108.816235
100.0,805.0,30.0,100,50.0,137.8429618
50.0,655.0,30.0,105,39.0,135.1020654
219.0,750.0,30.0,100,50.0,141.4357169
520.0,300.0,30.0,80,39.0,73.125
175.0,1150.0,60.0,100,39.0,94.42
400.0,990.0,30.0,105,39.0,124.4
150.0,950.0,120.0,100,0.0,136.017466
245.0,600.0,60.0,95,50.0,133.8
100.0,745.0,30.0,80,57.6,120.0
50.0,900.0,30.0,100,39.0,415.5406433
240.0,550.0,70.0,105,39.0,124.2
50.0,1100.0,30.0,100,0.0,137.3763648
100.0,600.0,30.0,100,50.0,135.2
50.0,1050.0,30.0,100,50.0,221.475
217.0,765.0,30.0,58,39.0,120.115
257.0,960.0,30.0,100,57.6,186.6
100.0,100.0,30.0,80,0.0,216.81
50.0,900.0,60.0,100,39.0,127.0
255.0,0.0,30.0,100,57.6,189.8
256.0,1703.15,120.0,80,50.0,73.575
100.0,1100.0,30.0,100,50.0,103.2
200.0,735.0,30.0,100,50.0,157.21
247.0,1100.0,30.0,100,50.0,135.4174621
50.0,100.0,30.0,100,40.5,56.25
213.0,1200.0,100.9480091,105,39.0,356.0
50.0,1085.0,30.0,100,39.0,157.21
50.0,912.44,30.0,95,50.0,141.3426199
200.0,1200.0,120.0,100,50.0,137.1428746
50.0,815.0,30.0,100,55.0,152.32
416.0,1000.0,120.0,80,39.0,57.48
150.0,850.0,60.0,105,0.0,160.0
50.0,100.0,30.0,100,39.0,115.0
230.0,1050.0,30.0,100,50.0,132.2
100.0,750.0,30.0,105,39.0,136.9156686
200.0,800.0,30.0,100,0.0,121.08
208.0,1100.0,60.0,100,50.0,124.2
156.0,700.0,30.0,80,39.0,64.28
150.0,300.0,30.0,105,50.0,45.7
300.0,955.0,120.0,100,50.0,112.5
416.0,750.0,120.0,80,50.0,139.2
206.0,925.0,148.1196,105,50.0,72.825
50.0,700.0,100.9480091,100,57.6,120.0
200.0,690.0,30.0,100,39.0,48.98
50.0,950.0,30.0,100,39.0,108.816235
195.0,950.0,70.0,105,50.0,117.2
150.0,2400.0,30.0,100,50.0,262.8748567
150.0,665.5,30.0,100,50.0,139.6749438
250.0,912.44,215.0,105,50.0,125.2
50.0,1050.0,30.0,95,39.0,94.42
150.0,1150.0,30.0,105,50.0,63.6
195.0,800.0,30.0,100,50.0,140.4
148.2,730.0,118.56567,80,39.0,137.4
179.0,200.0,60.0,100,50.0,141.0152378
350.0,1200.0,30.0,105,40.91,105.2
195.0,550.0,30.0,58,39.0,154.18
91.0,950.0,70.0,105,0.0,216.81
150.0,1013.1,60.0,100,39.0,133.755
200.0,795.0,30.0,95,50.0,181.7097233
312.0,1000.0,120.0,100,0.0,189.8
150.0,900.0,250.0,105,40.5,114.125
179.0,1150.0,60.0,100,40.5,81.38852375
248.0,635.0,30.0,95,39.0,119.0
214.0,530.0,70.0,105,0.0,275.0
50.0,750.0,60.0,105,0.0,89.72
164.0,835.0,250.0,100,57.6,128.4
195.0,1150.0,30.0,100,50.0,79.6
416.0,800.0,148.1196,100,50.0,133.755
150.0,950.0,120.0,100,50.0,289.08
117.0,100.0,70.0,58,0.0,412.75
200.0,610.0,30.0,100,50.0,144.26
195.0,300.0,30.0,100,50.0,118.4946127
200.0,505.0,30.0,100,50.0,136.8576649
195.0,900.0,60.0,95,39.0,136.9665905
211.0,1200.0,30.0,100,50.0,153.56
50.0,300.0,148.1196,95,40.91,131.0
150.0,1100.0,30.0,105,50.0,142.6
255.0,975.0,70.0,95,39.0,47.12
231.0,800.0,60.0,100,40.5,101.6
150.0,100.0,60.0,105,50.0,82.82
50.0,640.0,60.0,105,0.0,241.87
364.0,1165.0,60.0,100,40.5,53.06
150.0,1200.0,30.0,95,50.0,46.55
208.0,755.0,148.1196,100,39.0,186.6
200.0,1100.0,30.0,100,39.0,141.4481717
75.0,500.0,30.0,105,40.5,137.3763648
179.0,1013.1,60.0,105,39.0,96.62
416.0,1000.0,30.0,100,39.0,144.8
50.0,1200.0,30.0,100,50.0,48.8
239.0,525.0,60.0,140,39.0,122.4
195.0,990.0,30.0,100,39.0,133.755
205.0,1130.0,215.0,100,50.0,168.9445907
209.0,800.0,30.0,95,50.0,94.42
50.0,950.0,30.0,105,50.0,60.2
150.0,1500.0,30.0,100,0.0,111.325
50.0,1000.0,30.0,100,50.0,412.75
150.0,705.0,30.0,100,39.0,225.0
150.0,900.0,30.0,100,0.0,92.88
50.0,800.0,30.0,105,0.0,92.88
233.0,775.0,30.0,105,50.0,139.9703524
210.0,685.0,30.0,58,39.0,121.08
164.0,545.0,30.0,100,50.0,123.8
150.0,300.0,30.0,100,39.0,290.0
50.0,750.0,30.0,100,39.0,412.75
50.0,400.0,30.0,100,50.0,94.32
117.0,750.0,30.0,100,50.0,169.96
50.0,600.0,30.0,100,39.0,93.86
256.0,625.0,30.0,100,50.0,94.42
203.0,900.0,70.0,100,40.5,114.4
100.0,1195.0,30.0,105,50.0,137.6491598
217.0,700.0,30.0,100,50.0,141.5113267
100.0,1110.0,60.0,100,50.0,114.2
416.0,500.0,30.0,100,0.0,87.42
100.0,935.0,60.0,100,39.0,135.2434755
175.0,1000.0,30.0,100,39.0,72.075
50.0,770.0,30.0,105,39.0,175.0
208.0,1200.0,30.0,80,39.0,111.85
150.0,300.0,215.0,100,50.0,75.0
195.0,900.0,30.0,100,40.5,117.2
195.0,900.0,215.0,105,40.5,62.58
416.0,950.0,30.0,100,39.0,125.0
195.0,1180.0,60.0,100,50.0,74.325
200.0,1050.0,30.0,100,50.0,120.115
100.0,1160.0,30.0,105,50.0,46.15
520.0,200.0,30.0,100,0.0,150.46
195.0,1005.0,30.0,105,39.0,94.42
251.0,1703.15,30.0,100,50.0,182.76
416.0,610.0,148.1196,100,40.91,126.4
100.0,700.0,60.0,80,50.0,51.7
241.0,580.0,70.0,58,50.0,74.4
150.0,300.0,30.0,105,0.0,202.24
50.0,950.0,30.0,100,50.0,135.502157
200.0,300.0,30.0,100,39.0,365.44
100.0,760.0,30.0,105,0.0,120.115
50.0,615.0,30.0,100,50.0,112.5
100.0,200.0,30.0,100,40.5,241.87
100.0,1105.0,30.0,105,0.0,72.45
200.0,1045.0,60.0,100,40.5,46.4
256.0,690.0,30.0,105,50.0,130.2
195.0,665.5,30.0,105,50.0,157.21
416.0,550.0,120.0,100,50.0,134.5729437
234.0,750.0,60.0,100,39.0,73.95
200.0,750.0,60.0,105,40.5,286.62154
100.0,1100.0,250.0,105,39.0,221.475
229.0,700.0,30.0,105,50.0,46.15
240.0,1703.15,30.0,100,39.0,135.7594062
239.0,595.0,30.0,105,50.0,46.05
223.0,905.0,60.0,100,39.0,167.0386133
400.0,100.0,30.0,100,39.0,48.86
100.0,775.0,30.0,100,50.0,97.54
100.0,912.44,118.56567,100,50.0,109.92572
150.0,800.0,118.56567,100,50.0,167.0386133
194.0,875.0,30.0,100,50.0,49.46
100.0,100.0,148.1196,100,50.0,109.92572
195.0,1703.15,30.0,100,50.0,48.38
249.0,1100.0,120.0,80,39.0,117.0
255.0,1500.0,120.0,105,39.0,84.0
208.0,1025.0,30.0,105,50.0,122.2
222.0,1703.15,30.0,100,50.0,140.6543855
117.0,750.0,30.0,100,0.0,175.0
238.0,700.0,250.0,105,0.0,52.72
100.0,800.0,30.0,100,50.0,128.2
50.0,665.5,250.0,80,39.0,47.9
50.0,1703.15,30.0,100,0.0,289.08
175.0,1050.0,30.0,100,39.0,89.72
239.0,900.0,30.0,100,39.0,159.14
50.0,755.0,30.0,100,50.0,81.38852375
195.0,790.0,30.0,105,40.5,221.475
200.0,800.0,30.0,100,40.5,198.2
231.0,200.0,30.0,95,40.5,109.4
248.0,740.0,250.0,100,50.0,49.58
100.0,1000.0,30.0,100,39.0,126.6
194.0,300.0,30.0,95,50.0,110.0
416.0,700.0,30.0,100,50.0,111.85
100.0,800.0,30.0,80,39.0,81.38852375
350.0,1060.0,30.0,100,50.0,98.8
200.0,950.0,30.0,100,50.0,134.5974426
50.0,1500.0,215.0,100,0.0,48.5
50.0,100.0,30.0,100,0.0,241.87
416.0,1000.0,70.0,80,39.0,175.0
100.0,630.0,60.0,100,39.0,112.5
195.0,1000.0,30.0,100,39.0,45.1
205.0,900.0,70.0,100,50.0,227.8
200.0,400.0,120.0,95,39.0,124.6
100.0,900.0,60.0,100,0.0,111.85
200.0,500.0,60.0,100,50.0,202.24
117.0,720.0,70.0,58,40.5,92.704
100.0,1100.0,118.56567,100,50.0,141.4
211.0,550.0,60.0,100,39.0,84.2
200.0,1100.0,30.0,100,39.0,112.025
195.0,200.0,30.0,100,39.0,118.6
206.0,1115.0,60.0,100,57.6,170.0
210.0,670.0,60.0,105,40.5,45.1
219.0,850.0,30.0,140,0.0,104.8
150.0,1200.0,30.0,100,50.0,241.87
164.0,505.0,60.0,140,0.0,331.915
100.0,840.0,30.0,95,50.0,75.0
195.0,950.0,30.0,100,0.0,141.5113267
223.0,800.0,30.0,80,39.0,108.816235
250.0,725.0,30.0,105,39.0,141.4
211.0,900.0,60.0,105,50.0,46.35
125.0,200.0,60.0,100,50.0,178.92
208.0,100.0,30.0,105,50.0,72.825
200.0,575.0,250.0,100,50.0,154.8
195.0,3200.0,30.0,95,40.91,74.775
195.0,820.0,60.0,105,40.91,87.42
100.0,905.0,70.0,100,40.91,49.76
195.0,1703.15,30.0,100,50.0,180.0
221.0,700.0,30.0,58,0.0,49.28
200.0,100.0,60.0,100,50.0,92.704
50.0,1100.0,30.0,105,40.5,64.28
416.0,1000.0,60.0,105,40.5,108.35
400.0,645.0,30.0,100,50.0,169.3718141
100.0,1200.0,30.0,100,40.5,135.4174621
238.0,1013.1,60.0,100,50.0,139.6
195.0,1095.0,60.0,95,39.0,53.4
50.0,2800.0,148.1196,105,40.5,172.52
200.0,930.0,30.0,80,50.0,111.15
208.0,1040.0,30.0,105,39.0,167.0386133
195.0,1120.0,70.0,100,39.0,161.2410367
100.0,1090.0,30.0,100,50.0,135.502157
350.0,1065.0,30.0,100,40.91,141.78
100.0,1200.0,60.0,105,39.0,114.475
195.0,912.44,30.0,80,39.0,113.075
148.2,510.0,30.0,100,39.0,123.4
150.0,900.0,30.0,105,39.0,415.5406433
221.0,655.0,60.0,105,50.0,139.6749438
208.0,1005.0,60.0,100,50.0,137.1428746
200.0,720.0,60.0,95,40.91,140.1323234
247.0,750.0,60.0,100,50.0,100.0
211.0,300.0,30.0,100,40.5,189.16
195.0,1050.0,30.0,100,39.0,137.0733694
100.0,750.0,30.0,105,50.0,94.42
50.0,950.0,120.0,100,39.0,139.3
400.0,750.0,60.0,100,50.0,109.92572
255.0,1035.0,133.5213867,140,0.0,149.8
350.0,965.0,60.0,95,39.0,94.42
195.0,750.0,30.0,105,50.0,73.5
150.0,1013.1,30.0,58,50.0,122.6
416.0,655.0,30.0,105,40.5,140.5206429
164.0,950.0,120.0,105,0.0,52.38
50.0,1200.0,60.0,100,50.0,182.12
237.0,910.0,133.5213867,105,50.0,105.2
50.0,700.0,30.0,100,50.0,111.85
100.0,935.0,60.0,105,40.5,262.8748567
227.0,100.0,30.0,100,50.0,141.5113267
50.0,1100.0,30.0,105,50.0,73.425
100.0,830.0,30.0,100,50.0,125.0
200.0,200.0,30.0,95,50.0,125.2
200.0,200.0,30.0,100,50.0,92.38
200.0,1050.0,70.0,100,39.0,179.56
200.0,1005.0,30.0,80,0.0,136.8576649
50.0,735.0,30.0,100,39.0,140.7115871
208.0,750.0,30.0,105,50.0,365.44
256.0,620.0,60.0,100,50.0,134.5729437
200.0,785.0,133.5213867,100,50.0,138.1193299
224.0,865.0,118.56567,95,39.0,75.0
203.0,700.0,60.0,100,50.0,74.4
255.0,1013.1,30.0,100,50.0,356.0
400.0,660.0,30.0,140,50.0,73.05
210.0,1090.0,30.0,100,50.0,91.56
195.0,950.0,30.0,100,50.0,139.6749438
195.0,655.0,30.0,80,50.0,118.4946127
150.0,795.0,250.0,100,40.91,99.6
248.0,750.0,30.0,100,50.0,160.38
195.0,1200.0,30.0,100,50.0,62.58
200.0,800.0,30.0,100,50.0,138.5016038
195.0,750.0,30.0,58,39.0,119.8
150.0,900.0,70.0,105,39.0,157.21
195.0,950.0,30.0,100,0.0,128.4
194.0,945.0,30.0,100,0.0,331.915
416.0,700.0,70.0,100,40.5,151.08
195.0,700.0,70.0,100,0.0,124.2
240.0,100.0,250.0,100,50.0,112.5
75.0,995.0,60.0,105,57.6,133.755
100.0,1105.0,30.0,100,50.0,111.6
245.0,870.0,100.9480091,100,39.0,46.15
75.0,1200.0,60.0,80,50.0,137.5456418
50.0,1195.0,30.0,100,50.0,108.525
