Tool Rotational Speed (RPM),Translational Speed (mm/min),Axial Force (KN),Ultimate Tensile Trength (MPa)
1854.81,111.2751751,2.26,143.21
1856.01,111.6045151,2.26,143.24
1100.0,42.5,6.0,143.5
1877.47,117.4836689,2.29,143.78
1882.73,118.9243173,2.29,143.91
1884.75,119.4799798,2.29,143.96
1885.15,119.5897598,2.29,143.97
1000.0,45.0,8.0,144.0
1892.04,121.4762917,2.3,144.14
1892.84,121.6958517,2.3,144.16
1894.04,122.0251917,2.3,144.19
1900.53,123.8019426,2.31,144.35
1907.01,125.5786935,2.32,144.51
1907.41,125.6884735,2.32,144.52
1907.81,125.7982535,2.32,144.53
1908.21,125.9080335,2.32,144.54
1915.9,128.0141244,2.32,144.74
1923.59,130.1202163,2.33,144.93
1000.0,90.0,8.0,145.0
1000.0,60.0,8.0,145.0
1178.3,85.1,5.81,145.0
1000.0,90.0,8.0,145.0
1000.0,60.0,8.0,145.0
1931.27,132.2263072,2.34,145.12
1931.27,132.2263072,2.34,145.12
1938.96,134.3323981,2.35,145.31
1200.0,90.0,6.0,148.0
1200.0,90.0,6.0,148.0
821.6,85.1,8.18,151.0
1000.0,105.0,6.0,151.0
821.6,114.8,5.81,152.0
1000.0,60.0,8.0,153.0
1000.0,75.0,5.81,153.0
1000.0,60.0,8.0,153.0
821.6,114.8,8.18,155.0
1400.0,45.0,8.0,155.0
800.0,30.0,10.0,158.0
800.0,30.0,10.0,158.0
1000.0,60.0,8.0,159.0
1000.0,60.0,8.0,159.0
1400.0,105.0,6.0,161.0
1178.3,114.8,5.81,162.0
1300.0,85.1,5.81,162.0
1300.0,85.1,5.81,162.0
1000.0,105.0,8.0,162.0
1000.0,60.0,10.0,163.0
1178.3,85.1,8.18,163.0
1178.3,114.8,8.18,163.0
1000.0,60.0,10.0,163.0
2000.0,72.0,2.5,163.23
924.0,60.0,8.0,164.0
950.0,48.75,6.0,164.83
1000.0,100.0,5.0,165.0
1200.0,80.0,7.0,165.0
1200.0,40.0,9.0,167.0
1200.0,80.0,9.0,168.0
1200.0,40.0,7.0,169.0
1000.0,125.0,5.81,171.0
1400.0,105.0,8.0,172.0
1200.0,40.0,9.0,172.0
1000.0,30.0,8.0,176.0
1000.0,30.0,8.0,176.0
1000.0,100.0,9.0,178.0
1400.0,12.43,8.0,185.0
1400.0,60.0,5.62,185.0
1200.0,40.0,7.0,186.0
1400.0,60.0,8.0,187.0
1200.0,60.0,8.0,190.0
1000.0,60.0,6.0,190.0
1600.0,40.0,7.0,190.0
1200.0,60.0,8.0,190.0
1000.0,60.0,6.0,190.0
1200.0,90.0,10.0,191.0
1200.0,90.0,10.0,191.0
1000.0,100.0,7.0,192.0
1600.0,80.0,7.0,192.0
1600.0,40.0,9.0,192.0
1200.0,30.0,6.0,193.0
1600.0,80.0,9.0,193.0
1200.0,30.0,6.0,193.0
1200.0,30.0,10.0,198.0
1600.0,40.0,9.0,198.0
1200.0,30.0,10.0,198.0
1600.0,80.0,7.0,200.0
1875.0,60.0,8.0,207.0
1400.0,107.56,8.0,207.0
1400.0,60.0,10.37,208.0
1300.0,60.0,3.0,217.48
1700.0,60.0,3.0,242.91
1700.0,50.0,3.0,245.86
1700.0,40.0,3.0,248.81
1700.0,60.0,5.0,254.97
1700.0,50.0,5.0,257.92
1500.0,60.0,3.0,257.94
1700.0,40.0,5.0,260.86
1500.0,50.0,3.0,260.89
1300.0,50.0,3.0,262.02
1500.0,40.0,3.0,263.83
1700.0,60.0,7.0,267.03
1700.0,50.0,7.0,269.98
1500.0,60.0,5.0,269.99
1100.0,60.0,3.0,270.49
1700.0,40.0,7.0,272.92
1500.0,50.0,5.0,272.94
1100.0,40.0,5.0,274.56
1300.0,60.0,5.0,275.42
1500.0,40.0,5.0,275.89
1300.0,40.0,5.0,277.41
1500.0,60.0,7.0,282.06
1500.0,50.0,7.0,285.0
1300.0,50.0,5.0,285.52
1500.0,40.0,7.0,287.95
1300.0,40.0,7.0,288.48
900.0,50.0,7.0,289.62
1300.0,50.0,7.0,298.68
900.0,50.0,3.0,299.01
1300.0,60.0,7.0,299.39
1100.0,50.0,3.0,300.61
900.0,50.0,5.0,306.16
900.0,60.0,3.0,306.99
900.0,60.0,5.0,307.37
900.0,40.0,7.0,308.16
1100.0,50.0,5.0,310.92
900.0,40.0,5.0,311.02
1100.0,40.0,3.0,319.98
900.0,40.0,3.0,323.09
1100.0,60.0,7.0,326.79
1300.0,40.0,3.0,328.88
1100.0,40.0,7.0,336.16
1100.0,50.0,7.0,345.98
900.0,60.0,7.0,352.35
1100.0,60.0,5.0,358.43
1804.3269788334374,88.49521230298339,5.280226323247453,219.82341949783444
717.3318405309248,50.265253474286375,3.651480645924484,48.71703875527882
1586.8874547290945,56.61723711912672,7.526948133024757,201.3777691440014
1793.9599088029424,72.0705775452629,1.5835096245738072,96.60564497223304
1219.9464846677238,35.20373078664569,1.4833634572278513,217.23043442553
2226.1296213674877,77.87239695191431,5.561124299159942,129.897893730139
1116.1084680571528,33.21483850807634,5.878817172002751,142.73921924738875
1278.058351137252,16.650540433129066,3.466179687128749,198.60179236017223
1302.0655637006314,39.981534344499806,6.086985042358695,26.095390723646148
1432.6035658467565,69.27747419435225,3.0760466893212994,135.1911015298685
1733.3871178131085,13.891728098098433,0.6990152591601264,196.20323800605897
1940.7620230716334,46.192328630942924,3.1678730902063035,185.2727646452179
1807.3322658405655,24.553684855555744,4.054905879326683,261.4929119073173
1418.1270753703984,92.5461670705443,4.283244287719942,61.08430771977396
1428.8312696855585,75.81414560516836,3.2425780237183366,154.4757918170936
1469.6539235309579,81.59995963874653,7.142702436919288,111.65940667100847
1124.9689907182787,80.04833042594232,3.8503814606435736,168.72174914926154
1163.4737454906203,102.40163320915482,1.6604486502443447,190.61532273974535
1085.330235858083,93.43498272979863,2.2618316743573166,136.5248835257281
1253.2204569254545,90.21930293917305,7.110123860908621,53.00968536882098
969.1857310567977,100.57981749090041,8.261976877826253,201.85168957969978
2114.977916537884,40.95340057739739,5.026239534728113,191.58427963898197
1914.8555912675038,66.30085996043863,5.368178053248218,156.17186227960514
1684.2112034658994,52.69564907695582,6.447603684036226,123.06686517113803
1135.9608742116316,30.014343041364178,3.3035608514021253,184.3764632553927
2103.9846096749047,75.57801273959716,2.962438514106915,136.3275092325004
1437.928090182625,116.62420592359229,6.642400815764335,174.10549822827096
1174.0291350141867,59.28818074620489,6.465892830869187,88.25790281050617
1878.3282579514128,97.92502928412262,11.156865013448158,196.45950185609064
1280.4145723265165,19.521861392981187,1.2405997817489083,47.226490418207874
1456.5508442941298,88.92581695158285,4.523233140481821,107.52468202790193
1313.6670052001145,97.5157174048691,5.5317253916948825,116.38843263517956
1579.6448902951433,20.892218043344492,3.367267251418585,126.10446120659657
1026.1575259202605,45.09009213548251,1.4704469451348765,197.69819836417315
2329.057205813086,49.605622681451656,2.245478506006665,92.30536317398106
979.2916892877563,72.98777701896917,1.8664372538869554,107.6630996572087
1365.7722778927853,123.39032791985889,2.2580477053502417,121.25271497302933
1456.275903644111,45.887874840779034,5.365840599092021,209.09661282200966
1246.4414091963004,81.69106042531894,1.3055514119496525,93.45588225803507
1770.6732440112905,0.019505613443804748,4.708247140276265,157.86215146827902
1698.0846527969095,89.27603374403648,0.38435302707873875,180.38056764026382
1036.437729308442,79.37625713983715,5.213816239438633,178.29844528474362
1570.111376152816,39.52805209322005,7.051823239099081,193.609511868576
1370.1843308479895,56.645084527508345,6.411717771102596,231.08347259319874
1394.2423705912431,53.717147206088114,1.839883224107576,221.77920957393792
1218.6827888317175,60.14287801359274,1.710387520978705,135.426340921307
1373.0819550674646,0.8146492488991157,4.787153557954294,167.106972729005
1455.4275788325049,75.25705106612405,5.168883637052611,170.2842682882215
1230.7652023279968,46.39653030211561,3.445007355609289,143.02635664098528
1331.9057025121717,44.37801187724331,6.406660874705565,136.28008763899993
1886.110191095876,89.04001731090187,7.355917432304089,194.59266099278338
1282.381943055314,79.68064978387198,3.83564573770475,117.29128023784182
793.6714804180403,3.2269938416890227,6.1682764609888805,208.73965406271148
1648.8489661570254,30.305159929853318,-0.16716197178850134,171.44385878460469
1062.4644130845209,59.218026302292714,4.29218450899456,140.8252549017771
1831.7217989284595,70.87779137865239,2.8278596896309267,301.94057083767
676.7594424756817,55.93362697834258,4.76908472773224,135.69582028242525
670.9475549604966,52.91874807942974,5.162338865399963,140.84836775569255
1127.4294520827693,37.74923213150723,1.6007494247172347,173.04803214773392
1947.5279717638641,79.47528765467578,2.8358895704537406,157.06349255239155
1424.5060727308742,26.857111569226312,9.16087758753382,162.70356619650573
1624.4903807400128,29.200603495149913,2.342591489689424,238.2990689295611
1839.6848335935836,94.10779001812946,3.634837661586345,95.6186559086695
702.0719871418243,40.82552620169405,6.461561758882051,45.72965019682421
865.7532270810792,74.5310530037945,4.748350402449772,139.85362672170055
1629.4751420977486,-11.418828578471157,4.211278494130848,132.25475141677288
1764.9649631261523,90.05146674502888,1.848251309453671,161.81820910740262
1461.094379033082,52.263474104050076,5.644140017466279,257.3353417285629
1809.696756579394,38.94616917464812,4.294031875080704,126.77251861252935
1849.649007286726,49.737290470391045,5.235003175435681,99.89405286213196
839.8026171091611,66.01237652482433,-0.7871589882737249,164.53136604521043
2035.024163081259,43.370386333399935,7.895647087784054,197.45027645374907
1880.6185287088242,26.718510310135194,5.356149457537601,154.5823654131484
1604.575164545942,28.368229034290756,6.60122197044378,148.56083447404387
1820.1620258001717,64.23104477683826,3.5738366355551827,140.7128780853323
997.283739290736,52.70657377033254,-0.18792315930800463,173.45197746245842
1871.7871308861095,44.163367501836206,4.813616571229167,63.63708482865843
1465.9495697137668,89.93764435585314,0.948225677975107,86.42371562599786
1830.5146159758176,96.2042892399877,3.1046201649740226,204.9799635272255
928.7669238763142,80.88377231001301,4.473759330921982,90.06367080688909
1506.51739743008,96.70008311580295,5.148254844411763,122.7494367043212
1441.743427302633,4.202273986452845,2.679404260705918,119.52994802563622
1317.1926880200904,50.8365274333808,5.834226579252315,226.84094817656387
2212.299041557499,61.42364041952799,1.1103971958089276,152.99739791031422
1505.087567726802,78.04720319203977,6.634449031359729,199.34191437931932
1928.055776847355,89.2259793024052,3.1131193594684867,260.75826771010304
1494.7590511941205,55.20961457436381,1.7054650997408793,165.82497910050787
1852.0008032705236,35.54715342431865,4.790462026374107,65.66966669683183
1407.357730652112,71.28264261999146,5.7553129205205025,173.44845937431103
1139.8934415995482,61.643412392331484,5.4183215758506655,248.6891011322199
1365.464503030563,30.00218341172296,6.789432881832667,49.86050115299973
1557.5716928652193,58.555975339091255,6.033406433694329,122.45176559826433
1321.43395370854,67.91430910789045,3.648410738112128,125.47160136065287
1771.7147749139504,31.159750779003957,5.940741771988478,216.03387282463433
1775.0359290391611,60.89387367189809,4.773850006028293,211.16900257375116
1663.2355554976966,109.03337374102662,5.727572010763211,205.7314584386409
1547.562411676367,137.78606564094062,5.220832711799423,98.26231879701945
1434.7747177927813,63.608056507996835,0.4684420676255199,130.94963509638603
1805.397471252968,61.11893278826901,3.9800828167679696,210.53195604137062
1377.9204550190216,65.53114069444474,0.4573185349031692,173.5088646632038
1907.1685781737858,28.881739052980684,10.007759149307576,191.7679211954945
1602.852210221877,61.131466859985565,-0.3249669316341883,98.70035479366905
1407.2232424672834,64.44025450674836,2.760809292809506,244.7958755343407
1563.74978044884,50.28278159176372,4.5481975390275275,273.5992793316134
1991.0582996611374,51.97230639699191,1.548031968693441,88.47073773721593
1274.2289299008537,76.26016246458171,6.6717478205313006,111.94070607848504
1048.3407624076585,104.0268417401274,3.112381716619316,119.0344866375379
1147.1684456098396,30.851861588946697,6.479430985420221,132.35015160031037
2003.645156055445,27.07482406482093,5.751299771297236,83.51870338971516
1393.2279796952485,51.874832502473325,5.035201362355749,110.37298930340222
1398.633478740405,61.341481313433796,4.7888514519183785,184.90358335552233
1985.7287264015558,48.09035262578422,3.3172480571647363,107.174235466291
1549.6746764278544,32.32564081672687,2.362919887757235,80.38430743965947
1287.069447313183,70.39485464764451,4.450019674100335,167.75572032769944
1469.3262834559819,112.97085085957859,5.4323131646615215,219.80960999532314
1254.8673277618254,52.54522370542485,6.325545581874449,179.68561214051388
1496.8024800758528,32.12070502289576,2.1863465006622715,154.53971454642058
1692.4326272660232,2.2456410397457915,2.777699462805277,65.4030667314368
1447.3034380378147,50.634435584311525,4.336931073849371,298.7312018634357
1600.382317473681,79.26875616785111,2.095590447675017,180.35387612795034
1162.1099012733525,75.85805889991613,-0.694360155092431,139.020138723547
1742.8526757069208,78.07521757806393,6.3994774979225735,104.51130049116748
1524.489527226436,57.08645252088918,3.7769132131847685,152.98903310633924
1363.6412486648887,76.45489659360678,8.89866585211698,126.97086897735338
1717.4768054151914,72.60355898045583,7.445837490575515,104.24600523424249
1443.8494848991036,70.34955663708958,9.32181911208544,196.54531192739955
1173.547528448611,38.032401644211355,6.518646670919889,171.65055207295617
1651.925680739594,75.23728591266868,3.287964960249699,215.6197107845865
1363.2035380408925,67.75899651981919,3.392048573850487,140.47704639401525
1608.5453047701358,55.95074411399705,5.950919116606357,209.10224896725543
1678.7476918923178,67.6008009637383,6.744538217837086,175.95138686309966
1888.505917522779,75.77168388130998,5.8535985973453375,116.40893701734274
1297.320813882401,66.82364784954105,5.235533580667301,185.54260810663277
1313.0229193660907,18.919184743839537,6.76413211945566,184.29362536347796
1347.3198144175742,123.34817357368414,2.6902573461229844,163.71984756027888
1162.6062838249857,24.858722989729984,7.187541615947957,203.5329647852759
1200.4591395209766,42.413248791060795,1.7599093079883654,155.10841164795787
1597.0799814762859,93.49587263976326,5.077177479507619,118.34066493650676
1269.5715058198462,39.268725739583886,1.898323835388184,184.8666143805436
1050.7929993475423,63.324717317952256,1.5316780288489475,152.0401831214787
1609.3814474963121,77.70598125981981,5.590564507927915,161.80959651458264
1847.9413831332065,49.78095049576646,6.286679603781426,254.56433184084136
1092.4670245701095,83.67752976833687,1.329371504661411,78.68460456824732
1038.1134722333404,118.63855665962086,2.3674076522509733,160.51216935846858
1138.1523190156227,64.30231414647722,4.0387842178459055,110.83300831121556
2051.2326743366757,94.37781925816837,3.033142086188678,114.81921001554537
1065.4062064024488,26.491372556950658,3.9515526558217253,250.1683721391789
1416.2428394167769,37.91512835680922,2.735173607603796,281.70982788992916
1072.688469820558,33.40004069838666,1.1218731751521962,204.96459913812745
1606.8469349356058,94.81476728799518,1.9110423355272785,114.88814931973316
